Purpose Full,Subscription,Resource Group,Env Full,Env,Scope Full,Scope,Asset Type Full,Asset Type,Region Full,Region,Index,TagName,TagValue,Classification,,,,
Web-hosting,Azure Basic Subscription,p-shp-rg-esposter-auea-001,Production,p,Esposter - Company Wide,esp,General: Management group,mg,South Africa North,sfno,#001,,,,,General,Management group,mg
,,d-shp-rg-esposter-auea-001,Test,t,Tenant-focused,tnt,General: Resource group,rg,South Africa West,sfwe,#002,,,,,General,Resource group,rg
,,,Development,d,Shared Platform,shp,General: Policy definition,policy,East Asia,asea,#003,,,,,General,Policy definition,policy
,,,,,,,General: API management service instance,apim,Southeast Asia,assoea,#004,,,,,General,API management service instance,apim
,,,,,,,General: Managed Identity,id,Japan West,jawe,#005,,,,,General,Managed Identity,id
,,,,,,,Networking: Private Link,pl,Japan East,jaea,#006,,,,,Networking,Private Link,pl
,,,,,,,Networking: Private Endpoint,pep,South India,inso,#007,,,,,Networking,Private Endpoint,pep
,,,,,,,Networking: Virtual network,vnet,Central India,incn,#008,,,,,Networking,Virtual network,vnet
,,,,,,,Networking: Subnet,snet,West India,inwe,#009,,,,,Networking,Subnet,snet
,,,,,,,Networking: Virtual network peering,peer,Korea Central,krcn,#010,,,,,Networking,Virtual network peering,peer
,,,,,,,Networking: Network interface (NIC),nic,Korea South,krso,#011,,,,,Networking,Network interface (NIC),nic
,,,,,,,Networking: Public IP address,pip,UAE Central,aecn,#012,,,,,Networking,Public IP address,pip
,,,,,,,Networking: Load balancer (internal),lbi,UAE North,aeno,#013,,,,,Networking,Load balancer (internal),lbi
,,,,,,,Networking: Load balancer (external),lbe,Australia East,auea,#014,,,,,Networking,Load balancer (external),lbe
,,,,,,,Networking: Network security group (NSG),nsg,Australia Southeast,ause,#015,,,,,Networking,Network security group (NSG),nsg
,,,,,,,Networking: Application security group (ASG),asg,Australia Central,aucn,#016,,,,,Networking,Application security group (ASG),asg
,,,,,,,Networking: Local network gateway,lgw,Australia Central 2,aucn3,#017,,,,,Networking,Local network gateway,lgw
,,,,,,,Networking: Virtual network gateway,vgw,North Europe,euno,#018,,,,,Networking,Virtual network gateway,vgw
,,,,,,,Networking: VPN connection,cn,West Europe,euwe,#019,,,,,Networking,VPN connection,cn
,,,,,,,Networking: API connection,apicn,UK South,ukso,#020,,,,,Networking,API connection,apicn
,,,,,,,Networking: ExpressRoute circuit,erc,UK West,ukwe,#021,,,,,Networking,ExpressRoute circuit,erc
,,,,,,,Networking: Application gateway,agw,France Central,frcn,#022,,,,,Networking,Application gateway,agw
,,,,,,,Networking: Route table,route,France South,frso,#023,,,,,Networking,Route table,route
,,,,,,,Networking: User defined route (UDR),udr,Switzerland North,chno,#024,,,,,Networking,User defined route (UDR),udr
,,,,,,,Networking: Traffic Manager profile,traf,Switzerland West,chwe,#025,,,,,Networking,Traffic Manager profile,traf
,,,,,,,Networking: Front door,fd,Germany North,deno,,,,,,Networking,Front door,fd
,,,,,,,Networking: CDN profile,cdnp,Germany West Central,dewecn,,,,,,Networking,CDN profile,cdnp
,,,,,,,Networking: CDN endpoint,cdne,Norway West,nowe,,,,,,Networking,CDN endpoint,cdne
,,,,,,,Networking: Web Application Firewall (WAF) policy,waf,Norway East,noea,,,,,,Networking,Web Application Firewall (WAF) policy,waf
,,,,,,,Compute and Web: Virtual machine,vm,Central US,uscn,,,,,,Compute and Web,Virtual machine,vm
,,,,,,,Compute and Web: Virtual machine scale set,vmss,East US,usea,,,,,,Compute and Web,Virtual machine scale set,vmss
,,,,,,,Compute and Web: Availability set,avail,East US 2,usea2,,,,,,Compute and Web,Availability set,avail
